Frames#,Latency (ms)
1041,91302.6736
1042,91383.9236
1043,91465.7751
1044,91547.2567
1045,91627.6906
1046,91705.2331
1047,91786.562
1048,91867.5109
1049,91948.8767
1050,92029.9797
1051,92109.9771
1052,92184.8556
1053,92266.4742
1054,92347.1592
1055,92428.5467
1056,92510.3171
1057,92592.4396
1058,92674.4443
1059,92756.0743
1060,92836.5241
1061,92918.5243
1062,93000.4521
1063,93082.5262
1064,93164.5595
1065,93248.0337
1066,93344.8275
1067,93426.9887
1068,93509.0965
1069,93591.5542
1070,93672.7014
1071,93754.2084
1072,93836.3527
1073,93918.4698
1074,94000.3862
1075,94082.5729
1076,94163.816
1077,94245.9981
1078,94328.1745
1079,94410.7158
1080,94492.1785
1081,94572.7409
1082,94654.038
1083,94735.8388
1084,94817.1567
1085,94895.8615
1086,94975.4089
1087,95056.8973
1088,95138.2566
1089,95219.2514
1090,95300.9662
1091,95381.9968
1092,95463.8807
1093,95520.2723
1094,95597.5532
1095,95679.2052
1096,95760.8427
1097,95842.5632
1098,95924.7005
1099,96006.165
1100,96087.8282
1101,96169.8857
1102,96252.0917
1103,96334.5183
1104,96416.1186
1105,96500.1346
1106,96581.7563
1107,96663.1063
1108,96745.0116
1109,96824.1264
1110,96906.0056
1111,96987.6364
1112,97062.5593
1113,97142.5755
1114,97223.4844
1115,97305.5818
1116,97387.6991
1117,97469.3691
1118,97551.4973
1119,97633.8001
1120,97715.9589
1121,97798.1615
1122,97879.2998
1123,97961.385
1124,98043.1213
1125,98124.5421
1126,98206.5658
1127,98288.6324
1128,98369.6815
1129,98451.295
1130,98531.9097
1131,98612.5821
1132,98691.7128
1133,98769.7294
1134,98844.196
1135,98925.3613
1136,99008.2773
1137,99090.3283
1138,99172.3952
1139,99254.1842
1140,99335.6128
1141,99417.8693
1142,99499.6697
1143,99581.305
1144,99658.6334
1145,99737.7834
1146,99817.6283
1147,99896.0522
1148,99977.3198
1149,100053.9283
1150,100135.4759
1151,100217.1096
1152,100298.9049
1153,100380.4269
1154,100462.4128
