Frames#,Latency (ms)
160,10818.8423
161,6578.2033
162,7050.8594
163,6640.3112
164,6722.6544
165,6804.84
166,6960.0166
167,6448.0644
168,10759.9514
169,10841.912
170,7621.2764
171,6683.551
172,6453.1594
173,6752.2371
174,6604.0546
175,6685.8241
176,10805.4082
177,6455.4547
178,6537.3117
179,6704.6881
180,6596.7178
181,6766.548
182,7483.2577
183,7565.6369
184,10747.686
185,6506.7188
186,7607.49
187,6783.5282
188,6554.6832
189,6530.1965
190,6601.6363
191,6598.9237
192,7587.2101
193,6763.1758
194,6505.516
195,6601.4494
196,6572.1043
197,6665.3492
198,6635.4998
199,6717.9331
200,10533.4122
201,6197.3791
202,6691.3943
203,6260.2791
204,6413.6656
205,6702.4211
206,6404.6748
207,6695.7436
208,7378.8297
209,7461.4892
210,6513.0746
211,6206.2008
212,6700.5329
213,6269.4845
214,10362.4475
215,6518.3613
216,6313.5422
217,6292.1812
218,6561.5346
219,5934.3211
220,6204.5076
221,5997.2385
222,6297.0375
223,6452.5473
224,6545.2174
225,6549.3647
226,6220.6747
227,6300.8537
228,6284.0721
229,5849.4997
230,5923.6706
231,10133.6864
232,6308.141
233,7097.2513
234,5947.7087
235,6247.9358
236,6332.5785
237,5796.1903
238,6375.5445
239,6267.8899
240,7059.0779
241,6415.5758
242,6182.552
243,6295.0967
244,9980.1869
245,6358.7505
246,5813.2624
247,6215.5956
248,6382.5469
249,6278.818
250,6968.2117
251,6426.7213
252,7032.3738
253,6490.0934
254,6572.52
255,5741.8864
256,9850.8183
257,6616.9641
258,5976.3182
259,6999.5545
260,5451.0019
261,7063.5722
262,5932.1737
263,7125.565
264,6090.3477
265,5941.8595
266,5956.4435
267,5417.2499
268,7130.6219
269,5353.5253
270,5978.287
271,5962.1736
272,9643.7404
273,5496.9031
274,6000.9612
275,5341.5457
276,5347.5972
277,6045.9993
278,5928.09
279,9612.2886
280,6277.3144
281,6359.6664
282,5953.0204
283,5698.2619
284,5386.6598
285,5761.115
286,5449.4113
287,6343.7692
288,9538.0101
289,6828.1124
290,5894.8614
291,5155.0998
292,5237.395
293,5411.868
294,5918.3392
295,6000.7975
296,5645.9041
297,6247.4578
298,5538.2062
299,5202.2981
300,6005.2382
301,4935.4552
302,5246.3964
303,6233.5202
304,5524.2277
305,5290.0504
306,5554.2264
307,6258.5052
308,5544.457
309,6539.855
310,5607.8144
311,5166.4957
312,5878.0485
313,5522.4067
314,6226.2708
315,6526.5253
316,5172.1158
317,5161.8707
318,5238.0345
319,5209.2287
320,6524.5107
321,5462.3849
322,5543.7847
323,5253.2555
324,5213.287
325,5414.0821
326,6510.1679
327,4530.9316
328,5260.1944
329,8839.4636
330,5109.4965
331,5182.745
332,8884.7244
333,5364.9384
334,5446.003
335,8926.5071
336,9005.9396
337,5165.1915
338,5054.3711
339,5148.2882
340,6340.9332
341,5280.2935
342,8993.0749
343,5173.993
344,5354.4179
345,4285.0938
346,5317.3541
347,4983.7916
348,5180.6074
349,6269.9341
350,6352.3475
351,5190.8389
352,6415.7307
353,8883.6805
354,5550.2982
355,5247.8465
356,5196.9673
357,5311.8501
358,5575.7986
359,5072.4298
360,8852.1836
361,5137.1954
362,4790.0829
363,5583.3976
364,8878.9317
365,4743.4991
366,6251.2716
367,6332.5951
368,4786.0757
369,3925.6845
370,8861.2424
371,5527.9211
372,5609.9826
373,3950.8002
374,5085.115
375,4750.6278
376,8847.6917
377,6239.4434
378,4791.0823
379,4846.0564
380,6274.3604
381,4843.7038
382,5024.8423
383,4872.0887
384,4954.8039
385,4754.6235
386,5051.097
387,4832.052
388,4799.5557
389,4364.6546
390,4942.8139
391,5025.2168
392,5038.8355
393,4389.6044
394,8598.7014
395,4767.8055
396,4435.2128
397,4434.6139
398,8624.072
399,8706.7184
400,4774.0239
401,4856.561
402,5958.1073
403,4628.1765
404,4710.3871
405,4363.463
406,4362.8606
407,5035.2089
408,3375.8177
409,3458.356
410,3540.7641
411,4775.4614
412,4657.9592
413,4330.1731
414,4820.2057
415,5968.5438
416,4884.2767
417,4235.1862
418,4317.7852
419,4591.0799
420,5974.6211
421,8385.1386
422,8467.1345
423,4227.6901
424,4792.3936
425,4557.5637
426,5941.0145
427,4244.7881
428,3276.8515
429,3358.8838
430,4775.2392
431,4146.601
432,4655.9713
433,5904.5969
434,3362.4654
435,4280.6065
436,3425.2474
437,4422.9714
438,4235.7483
439,8217.6924
440,4091.0767
441,4661.3607
442,4766.1877
443,4012.6486
444,3368.6211
445,4184.2764
446,4177.5129
447,4459.2601
448,4026.4948
449,4213.6103
450,4259.0208
451,4275.2153
452,8052.5169
453,4110.5605
454,5556.8013
455,4567.7997
456,4647.6231
457,8017.1076
458,4200.7618
459,8078.7392
460,3729.6902
461,4242.0333
462,4218.5346
463,3770.2818
464,4584.4527
465,4258.0958
466,5403.5437
467,4282.1068
468,3646.9604
469,3728.3124
470,3799.6598
471,5365.6171
472,3834.9484
473,3623.0711
474,5402.0196
475,3794.172
476,3680.5351
477,4373.4237
478,2691.0344
479,3807.6768
480,4415.1544
481,3558.2283
482,2709.8647
483,3653.5179
484,3734.3189
485,3803.8972
486,3885.6183
487,3965.0918
488,3645.4077
489,3725.1252
490,4304.2706
491,3684.6544
492,3764.3981
493,3948.768
494,4030.2781
495,7387.515
496,4278.2584
497,5017.7904
498,3299.9962
499,3616.6925
500,4299.1872
501,7363.5999
502,2389.9118
503,2471.7056
504,3605.6054
505,3906.3308
506,3667.9252
507,4915.922
508,4237.15
509,3921.5751
510,4951.1373
511,3651.1746
512,2371.2728
513,3075.1297
514,3688.3025
515,2411.0755
516,3115.5178
517,4893.8409
518,3311.9966
519,3799.9706
520,4930.3802
521,3351.4974
522,3622.5857
523,2344.8656
524,6973.2671
525,3368.5698
526,3943.3315
527,2888.7629
528,2966.7296
529,2950.059
530,3962.6204
531,3346.2263
532,3523.7541
533,3606.1273
534,2949.406
535,4718.7402
536,2899.8299
537,2982.0428
538,3602.4093
539,2114.2512
540,2850.1711
541,3641.7989
542,3425.553
543,3698.5835
544,2867.1863
545,3751.7067
546,3834.5047
547,3916.0685
548,4552.8465
549,4633.2524
550,4714.1066
551,3033.2488
552,2805.8713
553,1923.1787
554,6449.7066
555,2843.2815
556,3832.2641
557,2572.9656
558,6471.4119
559,6553.4927
560,1884.9096
561,3834.5791
562,3916.5199
563,2555.4473
564,3076.3241
565,6533.8699
566,2831.2915
